,CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
33,no_checking,37,prior_payments_delayed,other,7945,500_to_1000,1_to_4,4,male,none,4,savings_insurance,39,none,own,2,management_self-employed,1,none,yes,No Risk
34,greater_200,5,credits_paid_to_date,car_used,250,less_100,4_to_7,3,male,none,2,savings_insurance,42,none,rent,1,skilled,1,none,yes,No Risk
35,less_0,5,prior_payments_delayed,car_used,2528,less_100,1_to_4,2,male,none,2,real_estate,23,none,rent,1,skilled,1,none,yes,No Risk
36,no_checking,43,prior_payments_delayed,repairs,8886,greater_1000,greater_7,5,male,co-applicant,4,car_other,35,none,free,2,skilled,1,yes,yes,No Risk
37,no_checking,32,outstanding_credit,appliances,8032,500_to_1000,1_to_4,3,male,none,3,unknown,41,none,own,1,skilled,1,none,yes,No Risk
38,less_0,20,credits_paid_to_date,car_used,6201,500_to_1000,4_to_7,4,male,guarantor,4,unknown,40,stores,own,2,unskilled,1,yes,yes,No Risk
39,0_to_200,28,prior_payments_delayed,car_used,3952,greater_1000,greater_7,4,male,none,4,savings_insurance,36,none,own,2,skilled,1,none,yes,No Risk
40,less_0,16,prior_payments_delayed,car_used,2122,less_100,1_to_4,2,male,none,3,car_other,32,none,own,2,skilled,1,none,yes,No Risk
41,less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
42,less_0,13,credits_paid_to_date,furniture,1276,500_to_1000,1_to_4,3,male,none,1,real_estate,23,none,own,1,skilled,1,none,yes,No Risk
43,0_to_200,14,credits_paid_to_date,furniture,1074,less_100,4_to_7,3,male,none,2,savings_insurance,35,none,rent,1,skilled,1,none,yes,No Risk
44,less_0,4,all_credits_paid_back,radio_tv,250,less_100,unemployed,2,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
45,0_to_200,20,credits_paid_to_date,car_used,3713,less_100,less_1,3,male,none,2,real_estate,29,none,rent,1,skilled,1,none,yes,No Risk
46,less_0,33,credits_paid_to_date,business,2398,less_100,less_1,3,male,none,3,savings_insurance,22,none,own,1,skilled,1,none,yes,No Risk
47,less_0,14,all_credits_paid_back,furniture,250,less_100,less_1,2,male,none,1,real_estate,30,none,own,2,skilled,1,none,yes,No Risk
48,no_checking,25,prior_payments_delayed,radio_tv,7587,500_to_1000,1_to_4,4,male,none,4,car_other,38,none,own,2,management_self-employed,1,none,yes,No Risk
49,0_to_200,13,prior_payments_delayed,radio_tv,2453,less_100,4_to_7,3,male,none,2,car_other,39,none,own,2,skilled,1,none,yes,No Risk
50,no_checking,23,prior_payments_delayed,furniture,3786,greater_1000,4_to_7,4,male,guarantor,5,car_other,38,none,own,1,skilled,1,yes,yes,No Risk
51,0_to_200,23,prior_payments_delayed,retraining,2964,less_100,less_1,2,male,none,3,real_estate,32,none,own,1,skilled,1,yes,yes,No Risk
52,no_checking,25,outstanding_credit,education,5614,500_to_1000,1_to_4,4,male,none,3,car_other,45,none,own,1,management_self-employed,1,none,yes,No Risk
53,no_checking,35,prior_payments_delayed,furniture,5222,unknown,greater_7,4,male,guarantor,3,savings_insurance,53,none,free,2,skilled,2,yes,yes,No Risk
54,no_checking,25,credits_paid_to_date,car_used,2056,500_to_1000,4_to_7,3,male,none,4,real_estate,30,stores,own,2,skilled,1,none,yes,No Risk
55,0_to_200,24,outstanding_credit,radio_tv,3091,500_to_1000,less_1,2,male,none,3,savings_insurance,37,bank,rent,2,unskilled,2,yes,yes,No Risk
56,0_to_200,14,prior_payments_delayed,car_new,2609,less_100,4_to_7,4,male,none,2,savings_insurance,33,bank,rent,1,unskilled,1,yes,yes,No Risk
57,no_checking,8,credits_paid_to_date,furniture,463,greater_1000,4_to_7,3,male,none,4,savings_insurance,42,none,own,2,skilled,1,yes,yes,No Risk
58,greater_200,35,all_credits_paid_back,car_used,5208,less_100,4_to_7,3,male,none,2,savings_insurance,31,none,own,2,skilled,1,yes,yes,No Risk
59,0_to_200,22,credits_paid_to_date,radio_tv,2783,less_100,less_1,3,male,none,2,savings_insurance,28,none,own,1,skilled,1,none,yes,No Risk
60,less_0,16,all_credits_paid_back,car_new,250,100_to_500,less_1,1,male,none,1,savings_insurance,20,none,rent,1,skilled,1,none,yes,No Risk
61,less_0,15,credits_paid_to_date,furniture,250,less_100,4_to_7,2,male,none,1,savings_insurance,27,stores,own,1,skilled,1,none,yes,No Risk
62,0_to_200,26,credits_paid_to_date,radio_tv,250,less_100,4_to_7,2,male,none,2,real_estate,22,stores,own,1,skilled,1,none,yes,No Risk
63,no_checking,13,all_credits_paid_back,furniture,778,less_100,4_to_7,2,male,none,2,savings_insurance,22,none,rent,1,skilled,1,none,yes,No Risk
64,0_to_200,25,all_credits_paid_back,radio_tv,2429,500_to_1000,1_to_4,3,male,none,3,savings_insurance,29,none,own,1,skilled,1,none,yes,No Risk
65,no_checking,35,prior_payments_delayed,repairs,5601,unknown,4_to_7,4,male,none,5,car_other,42,none,rent,2,skilled,1,yes,yes,No Risk
66,0_to_200,4,prior_payments_delayed,car_new,250,less_100,1_to_4,2,male,none,2,real_estate,29,none,own,1,skilled,1,none,yes,No Risk
67,less_0,4,no_credits,car_new,250,less_100,unemployed,1,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
68,0_to_200,13,credits_paid_to_date,car_new,2719,500_to_1000,1_to_4,3,male,none,2,savings_insurance,38,none,own,2,skilled,1,none,yes,No Risk
69,0_to_200,17,prior_payments_delayed,car_new,4188,greater_1000,greater_7,4,male,none,3,unknown,43,none,own,2,skilled,1,none,yes,No Risk
70,0_to_200,21,prior_payments_delayed,retraining,5308,greater_1000,greater_7,3,male,none,3,unknown,40,none,own,2,skilled,1,none,yes,No Risk
71,no_checking,29,prior_payments_delayed,radio_tv,10213,500_to_1000,less_1,3,male,none,4,car_other,38,none,own,2,management_self-employed,1,none,yes,No Risk
72,0_to_200,26,all_credits_paid_back,furniture,3416,less_100,1_to_4,3,male,none,1,savings_insurance,19,stores,own,1,unskilled,1,none,yes,No Risk
73,0_to_200,13,prior_payments_delayed,radio_tv,3910,less_100,less_1,3,male,none,3,car_other,36,stores,own,2,unskilled,1,none,yes,No Risk
74,greater_200,24,credits_paid_to_date,radio_tv,5600,less_100,less_1,4,male,none,3,car_other,38,stores,own,2,unskilled,1,none,yes,No Risk
75,0_to_200,21,credits_paid_to_date,car_new,2442,less_100,4_to_7,3,male,none,4,real_estate,47,none,own,1,management_self-employed,1,none,yes,No Risk
76,less_0,8,prior_payments_delayed,furniture,1832,less_100,4_to_7,3,male,none,3,real_estate,31,none,rent,1,skilled,1,none,yes,No Risk
77,no_checking,27,outstanding_credit,radio_tv,2996,unknown,4_to_7,4,male,none,3,savings_insurance,36,none,own,2,skilled,1,yes,yes,No Risk
78,greater_200,33,prior_payments_delayed,furniture,1231,100_to_500,1_to_4,3,male,none,2,savings_insurance,41,none,own,1,skilled,1,none,yes,No Risk
79,no_checking,27,prior_payments_delayed,furniture,7158,100_to_500,greater_7,5,male,none,3,car_other,37,stores,own,2,unskilled,1,none,yes,No Risk
80,0_to_200,14,credits_paid_to_date,car_new,2886,100_to_500,unemployed,1,male,none,1,savings_insurance,29,stores,own,1,skilled,1,none,yes,No Risk
81,less_0,15,prior_payments_delayed,furniture,2746,500_to_1000,greater_7,3,male,none,1,car_other,41,stores,own,2,skilled,1,none,yes,No Risk
82,no_checking,9,prior_payments_delayed,radio_tv,3533,greater_1000,greater_7,3,male,none,4,car_other,38,none,own,1,skilled,1,none,yes,No Risk
83,less_0,15,credits_paid_to_date,car_new,3012,less_100,1_to_4,2,male,none,1,real_estate,27,none,own,1,skilled,1,none,yes,No Risk
84,no_checking,8,prior_payments_delayed,furniture,1073,unknown,4_to_7,3,male,none,3,car_other,46,none,own,1,skilled,1,yes,yes,No Risk
85,no_checking,29,outstanding_credit,repairs,4794,500_to_1000,4_to_7,4,male,none,3,unknown,30,none,own,1,skilled,1,yes,yes,No Risk
86,0_to_200,20,prior_payments_delayed,radio_tv,3424,greater_1000,1_to_4,2,male,none,3,unknown,27,none,own,1,skilled,1,yes,yes,No Risk
87,greater_200,17,credits_paid_to_date,car_new,250,greater_1000,less_1,1,male,co-applicant,2,real_estate,40,none,own,1,skilled,1,yes,yes,No Risk
88,0_to_200,44,prior_payments_delayed,appliances,5045,unknown,greater_7,4,male,guarantor,4,unknown,36,stores,free,2,unskilled,1,yes,yes,No Risk
89,no_checking,36,prior_payments_delayed,other,3114,unknown,4_to_7,3,male,none,4,savings_insurance,27,bank,own,1,unemployed,1,none,yes,No Risk
90,less_0,11,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,1,real_estate,26,bank,rent,1,unskilled,1,none,yes,No Risk
91,less_0,13,all_credits_paid_back,car_new,393,less_100,4_to_7,3,male,none,2,real_estate,28,none,own,1,skilled,1,none,yes,No Risk
92,less_0,10,credits_paid_to_date,car_used,652,less_100,4_to_7,2,male,none,1,savings_insurance,33,stores,own,1,skilled,1,none,yes,No Risk
93,0_to_200,32,credits_paid_to_date,car_used,2703,100_to_500,4_to_7,4,male,none,4,car_other,31,bank,own,1,unemployed,1,yes,yes,No Risk
94,no_checking,30,prior_payments_delayed,appliances,6703,unknown,greater_7,4,male,none,3,car_other,54,none,own,2,skilled,1,yes,yes,No Risk
95,0_to_200,22,credits_paid_to_date,repairs,812,less_100,4_to_7,3,male,none,2,savings_insurance,19,bank,rent,1,unemployed,1,none,yes,No Risk
96,less_0,28,credits_paid_to_date,radio_tv,530,less_100,1_to_4,2,male,none,2,real_estate,32,stores,own,1,skilled,1,none,yes,No Risk
97,0_to_200,4,credits_paid_to_date,car_new,1652,500_to_1000,1_to_4,3,male,none,3,savings_insurance,28,none,rent,1,skilled,2,none,yes,No Risk
98,less_0,23,prior_payments_delayed,furniture,3379,less_100,greater_7,4,male,none,2,car_other,42,none,own,1,skilled,1,none,yes,No Risk
99,no_checking,17,credits_paid_to_date,car_new,2720,100_to_500,1_to_4,3,male,none,4,savings_insurance,34,none,rent,1,management_self-employed,1,none,yes,No Risk
100,less_0,14,prior_payments_delayed,repairs,250,less_100,unemployed,1,male,none,1,real_estate,19,bank,rent,1,unemployed,1,none,yes,No Risk
101,greater_200,24,credits_paid_to_date,furniture,3428,500_to_1000,4_to_7,4,male,none,4,savings_insurance,38,none,own,1,skilled,1,none,yes,No Risk
102,less_0,4,all_credits_paid_back,car_new,250,less_100,less_1,2,male,none,2,savings_insurance,23,none,own,1,skilled,1,none,yes,No Risk
103,no_checking,40,prior_payments_delayed,vacation,5585,500_to_1000,4_to_7,5,male,none,4,car_other,42,none,own,2,skilled,1,yes,yes,No Risk
104,no_checking,26,prior_payments_delayed,car_used,7192,100_to_500,1_to_4,3,male,none,3,car_other,50,stores,own,2,unskilled,1,yes,yes,No Risk
105,0_to_200,15,credits_paid_to_date,furniture,3481,500_to_1000,1_to_4,2,male,none,3,car_other,43,none,own,1,skilled,2,yes,yes,No Risk
106,less_0,9,no_credits,car_new,438,less_100,unemployed,1,male,co-applicant,2,savings_insurance,30,stores,own,2,unskilled,1,none,yes,No Risk
107,less_0,11,all_credits_paid_back,furniture,850,less_100,less_1,2,male,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,No Risk
108,0_to_200,18,prior_payments_delayed,radio_tv,4560,500_to_1000,1_to_4,3,male,none,2,savings_insurance,32,none,own,1,skilled,1,none,yes,No Risk
109,no_checking,45,prior_payments_delayed,other,6580,500_to_1000,4_to_7,4,male,none,4,car_other,32,none,own,1,skilled,1,yes,yes,No Risk
110,less_0,20,prior_payments_delayed,radio_tv,1023,100_to_500,greater_7,3,male,none,2,savings_insurance,33,none,rent,2,skilled,1,none,yes,No Risk
111,0_to_200,4,all_credits_paid_back,car_new,332,less_100,1_to_4,2,male,none,3,real_estate,19,none,rent,1,management_self-employed,1,none,yes,No Risk
112,less_0,13,prior_payments_delayed,furniture,690,less_100,1_to_4,3,male,none,3,savings_insurance,27,none,own,1,skilled,2,yes,yes,No Risk
113,no_checking,39,prior_payments_delayed,repairs,6418,500_to_1000,4_to_7,5,male,none,4,car_other,43,none,free,2,management_self-employed,1,yes,no,No Risk
114,no_checking,31,prior_payments_delayed,business,6811,100_to_500,1_to_4,3,male,none,4,savings_insurance,56,none,own,2,management_self-employed,2,yes,yes,No Risk
115,0_to_200,33,outstanding_credit,vacation,1006,500_to_1000,4_to_7,4,male,none,3,car_other,26,none,own,2,skilled,1,none,yes,No Risk
116,0_to_200,25,credits_paid_to_date,retraining,4411,less_100,4_to_7,2,male,none,1,savings_insurance,35,stores,own,2,skilled,1,none,yes,No Risk
117,less_0,12,all_credits_paid_back,car_new,250,500_to_1000,1_to_4,1,male,none,2,real_estate,29,stores,rent,1,skilled,1,none,yes,No Risk
118,0_to_200,17,prior_payments_delayed,radio_tv,2164,100_to_500,less_1,2,male,none,3,savings_insurance,36,none,own,1,management_self-employed,1,yes,yes,No Risk
119,0_to_200,12,credits_paid_to_date,car_new,296,500_to_1000,1_to_4,2,male,none,2,savings_insurance,21,none,own,3,skilled,1,none,yes,No Risk
120,less_0,15,credits_paid_to_date,car_used,250,500_to_1000,4_to_7,3,male,none,1,savings_insurance,28,none,rent,1,skilled,1,none,yes,No Risk
121,0_to_200,30,credits_paid_to_date,education,2875,less_100,1_to_4,2,male,none,3,real_estate,33,none,own,2,skilled,1,yes,yes,No Risk
122,less_0,13,prior_payments_delayed,car_used,2458,less_100,less_1,3,male,none,2,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
123,less_0,9,prior_payments_delayed,car_new,4609,less_100,1_to_4,3,male,none,2,savings_insurance,36,none,rent,1,skilled,2,none,yes,No Risk
124,greater_200,19,credits_paid_to_date,retraining,5242,100_to_500,1_to_4,2,male,none,1,savings_insurance,38,none,own,1,skilled,1,none,yes,No Risk
125,less_0,12,all_credits_paid_back,furniture,250,less_100,less_1,1,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
126,no_checking,31,prior_payments_delayed,appliances,5060,100_to_500,4_to_7,3,male,none,3,unknown,50,none,own,2,management_self-employed,1,yes,yes,No Risk
127,less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,male,none,3,real_estate,19,bank,rent,1,unskilled,1,none,yes,No Risk
128,no_checking,27,prior_payments_delayed,business,5245,100_to_500,1_to_4,3,male,none,4,savings_insurance,46,none,own,1,management_self-employed,2,yes,yes,No Risk
129,less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,26,stores,rent,1,skilled,1,none,yes,No Risk
130,no_checking,13,credits_paid_to_date,car_used,1506,less_100,4_to_7,4,male,none,4,savings_insurance,36,none,own,2,management_self-employed,1,none,yes,No Risk
131,no_checking,31,prior_payments_delayed,car_used,4422,unknown,greater_7,5,male,none,4,savings_insurance,43,none,own,2,skilled,1,none,yes,No Risk
132,0_to_200,12,credits_paid_to_date,vacation,3349,500_to_1000,less_1,1,male,none,3,real_estate,20,none,rent,1,skilled,1,none,yes,No Risk
133,0_to_200,24,credits_paid_to_date,furniture,2912,less_100,less_1,3,male,none,3,savings_insurance,30,none,rent,2,skilled,1,none,yes,No Risk
134,0_to_200,29,credits_paid_to_date,furniture,6343,500_to_1000,1_to_4,3,male,none,2,savings_insurance,34,bank,own,2,unskilled,1,none,yes,No Risk
135,no_checking,28,prior_payments_delayed,car_used,6780,100_to_500,less_1,2,male,none,4,car_other,40,none,own,2,management_self-employed,1,none,yes,No Risk
136,less_0,8,prior_payments_delayed,furniture,250,less_100,4_to_7,3,male,none,3,real_estate,36,none,own,1,skilled,1,yes,yes,No Risk
137,0_to_200,24,outstanding_credit,education,690,unknown,4_to_7,3,male,none,3,savings_insurance,35,none,own,1,skilled,1,none,yes,No Risk
138,no_checking,26,prior_payments_delayed,car_used,5728,unknown,4_to_7,4,male,none,5,car_other,46,none,free,3,skilled,2,yes,yes,No Risk
139,less_0,27,credits_paid_to_date,car_new,1675,less_100,4_to_7,3,male,none,2,savings_insurance,31,none,own,1,skilled,1,yes,yes,No Risk
140,no_checking,27,outstanding_credit,furniture,4041,500_to_1000,4_to_7,3,male,none,2,savings_insurance,52,stores,free,2,unskilled,2,yes,yes,No Risk
141,0_to_200,34,prior_payments_delayed,radio_tv,6163,100_to_500,1_to_4,4,male,none,3,savings_insurance,33,none,own,2,skilled,1,none,yes,No Risk
142,no_checking,26,all_credits_paid_back,appliances,5232,less_100,1_to_4,3,male,none,3,real_estate,26,stores,own,1,unskilled,1,none,yes,No Risk
143,0_to_200,26,credits_paid_to_date,radio_tv,3261,less_100,less_1,3,male,none,3,real_estate,36,none,own,1,management_self-employed,1,none,yes,No Risk
144,no_checking,46,outstanding_credit,education,5670,unknown,greater_7,5,male,co-applicant,3,car_other,49,stores,own,2,unskilled,2,yes,yes,No Risk
145,greater_200,23,credits_paid_to_date,business,4031,500_to_1000,greater_7,4,male,none,4,car_other,47,none,own,2,skilled,2,yes,yes,No Risk
146,0_to_200,18,prior_payments_delayed,repairs,250,100_to_500,1_to_4,2,male,co-applicant,3,real_estate,39,none,own,1,skilled,1,none,yes,No Risk
147,greater_200,32,outstanding_credit,furniture,1528,greater_1000,1_to_4,4,male,none,4,car_other,29,none,own,1,skilled,1,none,yes,No Risk
148,no_checking,17,credits_paid_to_date,car_used,1841,100_to_500,less_1,2,male,none,2,real_estate,35,none,own,1,skilled,1,none,yes,No Risk
149,no_checking,37,credits_paid_to_date,appliances,4989,100_to_500,greater_7,4,male,none,3,savings_insurance,39,none,own,2,skilled,2,yes,yes,No Risk
150,no_checking,31,outstanding_credit,repairs,5548,500_to_1000,4_to_7,4,male,none,4,savings_insurance,32,stores,own,1,skilled,2,yes,yes,No Risk
151,0_to_200,18,credits_paid_to_date,car_new,3689,500_to_1000,unemployed,1,male,none,1,real_estate,36,none,own,1,skilled,2,yes,yes,No Risk
152,less_0,11,all_credits_paid_back,car_new,716,less_100,unemployed,1,male,none,2,real_estate,38,stores,own,1,skilled,1,none,yes,No Risk
153,no_checking,26,prior_payments_delayed,car_used,5072,100_to_500,1_to_4,3,male,co-applicant,4,savings_insurance,41,none,own,1,skilled,1,none,yes,No Risk
154,no_checking,32,all_credits_paid_back,furniture,4005,greater_1000,4_to_7,3,male,none,2,car_other,35,stores,own,2,unskilled,1,none,yes,No Risk
155,no_checking,32,prior_payments_delayed,car_used,5497,500_to_1000,4_to_7,4,male,guarantor,5,car_other,51,none,free,2,skilled,1,yes,yes,No Risk
156,0_to_200,14,prior_payments_delayed,appliances,4902,greater_1000,greater_7,4,male,co-applicant,4,savings_insurance,46,none,own,1,skilled,1,yes,yes,No Risk
157,no_checking,31,prior_payments_delayed,radio_tv,6568,100_to_500,less_1,4,male,none,5,car_other,31,none,own,1,management_self-employed,1,none,yes,No Risk
158,less_0,27,credits_paid_to_date,car_new,1815,less_100,4_to_7,2,male,none,3,savings_insurance,36,bank,rent,1,unemployed,1,none,yes,No Risk
159,less_0,7,no_credits,car_new,250,less_100,unemployed,2,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
160,less_0,24,credits_paid_to_date,car_used,1380,less_100,4_to_7,2,male,none,1,savings_insurance,30,stores,own,1,skilled,1,none,no,No Risk
161,no_checking,17,credits_paid_to_date,repairs,1574,100_to_500,less_1,2,male,none,3,real_estate,38,none,own,1,management_self-employed,2,none,yes,No Risk
162,0_to_200,21,outstanding_credit,business,5921,less_100,greater_7,4,male,none,4,savings_insurance,39,none,own,1,skilled,1,none,yes,No Risk
163,no_checking,24,prior_payments_delayed,radio_tv,7762,greater_1000,less_1,4,male,none,3,savings_insurance,39,none,own,2,management_self-employed,1,none,yes,No Risk
164,no_checking,39,prior_payments_delayed,appliances,9683,500_to_1000,4_to_7,4,male,co-applicant,4,car_other,49,stores,own,2,unskilled,2,yes,yes,No Risk
165,less_0,25,credits_paid_to_date,retraining,4448,500_to_1000,4_to_7,4,male,none,3,car_other,39,none,own,2,skilled,1,none,no,No Risk
166,0_to_200,5,prior_payments_delayed,furniture,1654,less_100,1_to_4,3,male,none,4,real_estate,25,none,rent,1,management_self-employed,1,none,yes,No Risk
167,less_0,4,all_credits_paid_back,car_new,250,100_to_500,less_1,1,male,none,1,real_estate,25,bank,rent,1,unskilled,1,none,yes,No Risk
168,less_0,9,prior_payments_delayed,furniture,3047,less_100,1_to_4,3,male,none,3,savings_insurance,35,bank,own,1,unskilled,1,yes,yes,No Risk
169,0_to_200,4,prior_payments_delayed,furniture,250,500_to_1000,4_to_7,1,male,none,1,car_other,28,stores,rent,2,skilled,1,yes,yes,No Risk
170,less_0,8,all_credits_paid_back,car_new,250,100_to_500,1_to_4,1,male,none,1,savings_insurance,34,stores,rent,1,unskilled,1,none,yes,No Risk
171,no_checking,23,prior_payments_delayed,car_used,3416,500_to_1000,1_to_4,3,male,none,4,savings_insurance,34,none,own,1,skilled,1,none,yes,No Risk
172,no_checking,36,prior_payments_delayed,appliances,5855,500_to_1000,greater_7,4,male,none,5,savings_insurance,42,none,own,2,skilled,1,none,yes,No Risk
173,greater_200,24,prior_payments_delayed,education,3598,100_to_500,1_to_4,3,male,none,4,unknown,38,none,free,1,skilled,1,yes,yes,No Risk
174,0_to_200,7,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,1,real_estate,20,none,rent,1,skilled,1,none,yes,No Risk
175,no_checking,25,prior_payments_delayed,radio_tv,4101,greater_1000,4_to_7,4,male,none,4,car_other,43,stores,rent,1,unskilled,1,none,yes,No Risk
176,0_to_200,35,prior_payments_delayed,furniture,4100,100_to_500,4_to_7,4,male,none,3,savings_insurance,30,none,own,2,skilled,1,none,yes,No Risk
177,0_to_200,5,prior_payments_delayed,furniture,250,less_100,1_to_4,1,male,none,1,real_estate,25,none,rent,1,skilled,1,yes,yes,No Risk
178,less_0,23,credits_paid_to_date,repairs,2951,500_to_1000,4_to_7,2,male,none,3,savings_insurance,31,stores,rent,2,unskilled,1,none,yes,No Risk
179,no_checking,15,credits_paid_to_date,radio_tv,5356,less_100,4_to_7,4,male,none,3,savings_insurance,51,none,own,2,management_self-employed,2,none,yes,No Risk
